Real: 0.328522	Estimated: 0.336921	cutvector: 940 	cutvector: 1024 
Real: 0.235537	Estimated: 0.331848	cutvector: 940 	cutvector: 1024 
Real: 0.350246	Estimated: 0.30958	cutvector: 940 	cutvector: 1024 
Real: 0.356791	Estimated: 0.318348	cutvector: 940 	cutvector: 1024 
Real: 0.332948	Estimated: 0.32603	cutvector: 940 	cutvector: 1024 
Real: 0.352725	Estimated: 0.325777	cutvector: 940 	cutvector: 1024 
Real: 0.362346	Estimated: 0.335774	cutvector: 940 	cutvector: 1024 
Real: 0.376464	Estimated: 0.334279	cutvector: 940 	cutvector: 1024 
Real: 0.387446	Estimated: 0.416756	cutvector: 940 	cutvector: 1024 
Real: 0.392567	Estimated: 0.389912	cutvector: 940 	cutvector: 1024 
Real: 0.359527	Estimated: 0.400338	cutvector: 940 	cutvector: 1024 
Real: 0.390654	Estimated: 0.586321	cutvector: 940 	cutvector: 1024 
Real: 0.391228	Estimated: 0.568233	cutvector: 940 	cutvector: 1024 
Real: 0.383845	Estimated: 0.616256	cutvector: 940 	cutvector: 1024 
Real: 0.486269	Estimated: 0.0562473	cutvector: 84 	cutvector: 1024 
Real: 0.482777	Estimated: 0.055358	cutvector: 84 	cutvector: 1024 
Real: 0.528334	Estimated: 0.0603477	cutvector: 84 	cutvector: 1024 
Real: 0.405762	Estimated: 0.38635	cutvector: 940 	cutvector: 1024 
Real: 0.369739	Estimated: 0.392058	cutvector: 940 	cutvector: 1024 
Real: 0.347307	Estimated: 0.336654	cutvector: 940 	cutvector: 1024 
Real: 0.52991	Estimated: 0.0674459	cutvector: 84 	cutvector: 1024 
Real: 0.507447	Estimated: 0.0697054	cutvector: 84 	cutvector: 1024 
Real: 0.408495	Estimated: 0.0679801	cutvector: 84 	cutvector: 1024 
Real: 0.367766	Estimated: 0.442861	cutvector: 940 	cutvector: 1024 
Real: 0.368428	Estimated: 0.404863	cutvector: 940 	cutvector: 1024 
Real: 0.399792	Estimated: 0.360744	cutvector: 940 	cutvector: 1024 
Real: 0.477008	Estimated: 0.249787	cutvector: 84 	cutvector: 1024 
